from_location_id,to_location_id,shared_border_km,adjacency_type
loc_830125fffffffff_2c8a97c37d,loc_8308e9fffffffff_e0c0b1e590,3.928291,land
loc_830125fffffffff_4b1fc88fa5,loc_83094bfffffffff_4c1ec1964e,0.284638,land
loc_830125fffffffff_50026c4002,loc_8308e9fffffffff_e0c0b1e590,7.743291,land
loc_830125fffffffff_853bf7a0ec,loc_8308e9fffffffff_e0c0b1e590,11.608801,land
loc_830125fffffffff_a040e0f5a9,loc_8308e9fffffffff_e5e82a6a49,0.857263,land
loc_830125fffffffff_a8900ff374,loc_8308e9fffffffff_eada87377c,1.374724,land
loc_830125fffffffff_a8900ff374,loc_83094bfffffffff_73c3004324,0.204911,land
loc_830125fffffffff_a8900ff374,loc_83094bfffffffff_f0e811e295,6.364714,land
loc_830125fffffffff_be982c5e0b,loc_8308e9fffffffff_6cafb29cf1,3.549073,land
loc_830126fffffffff_128c078c0b,loc_830135fffffffff_447ce5da09,15.570044,land
loc_830126fffffffff_128c078c0b,loc_830135fffffffff_ec831db77b,11.651830,land
loc_830126fffffffff_128c078c0b,loc_8308c9fffffffff_e7bdaee5e6,45.031857,land
loc_830126fffffffff_128c078c0b,loc_8308cdfffffffff_d97408b72b,62.710761,land
loc_830130fffffffff_430d4ace09,loc_830135fffffffff_ec831db77b,11.115495,land
loc_830130fffffffff_c693f4855b,loc_830134fffffffff_1a3068a354,25.880972,land
loc_830130fffffffff_c693f4855b,loc_830136fffffffff_b144ae54e0,2.924571,land
loc_830131fffffffff_29c145812b,loc_830135fffffffff_ec831db77b,13.337691,land
loc_830131fffffffff_c4042066e4,loc_830135fffffffff_ec831db77b,8.272995,land
loc_830131fffffffff_e31105709d,loc_830135fffffffff_ec831db77b,19.124630,land
loc_830131fffffffff_f52baa85fc,loc_830135fffffffff_ec831db77b,13.179680,land
loc_830134fffffffff_1a3068a354,loc_830135fffffffff_d69db17597,10.875525,land
loc_830134fffffffff_1a3068a354,loc_830135fffffffff_f00e2830c4,9.288217,land
loc_830134fffffffff_1a3068a354,loc_830136fffffffff_7fb08763cb,2.945026,land
loc_830134fffffffff_1a3068a354,loc_830136fffffffff_aa0dddfa29,1.069513,land
loc_830134fffffffff_1a3068a354,loc_830136fffffffff_b144ae54e0,8.319615,land
loc_830134fffffffff_1a3068a354,loc_830136fffffffff_e93aec9e52,5.531671,land
loc_830134fffffffff_1a3068a354,loc_8308c9fffffffff_e7bdaee5e6,26.419849,land
loc_830135fffffffff_ec831db77b,loc_8308c9fffffffff_e7bdaee5e6,49.626558,land
loc_830135fffffffff_f00e2830c4,loc_8308c9fffffffff_e7bdaee5e6,11.982293,land
loc_830150fffffffff_a53b334fb2,loc_830151fffffffff_6379fda66a,9.243139,land
loc_830150fffffffff_a53b334fb2,loc_830151fffffffff_bb3caa2be8,20.075230,land
loc_830150fffffffff_a53b334fb2,loc_830153fffffffff_0336fb5267,59.519506,land
loc_830150fffffffff_a53b334fb2,loc_830154fffffffff_62941002ac,31.622704,land
loc_830150fffffffff_a53b334fb2,loc_830155fffffffff_0f76d8de32,11.089985,land
loc_830151fffffffff_314408ff35,loc_83015efffffffff_edbfebc46e,7.384916,land
loc_830151fffffffff_7c68df14bf,loc_830153fffffffff_8dedc615be,2.102554,land
loc_830151fffffffff_7c68df14bf,loc_83015efffffffff_3365cd7c37,34.923777,land
loc_830151fffffffff_8d208f7f2e,loc_830153fffffffff_0336fb5267,20.217232,land
loc_830151fffffffff_bb3caa2be8,loc_830155fffffffff_0f76d8de32,3.429585,land
loc_830153fffffffff_0336fb5267,loc_83015efffffffff_3365cd7c37,5.760584,land
loc_830153fffffffff_692d5e02b4,loc_83015efffffffff_3365cd7c37,0.336859,land
loc_830153fffffffff_8dedc615be,loc_83015efffffffff_3365cd7c37,3.161952,land
loc_830153fffffffff_9f6613c887,loc_83015efffffffff_3365cd7c37,6.887172,land
loc_83015afffffffff_8a9ee6f272,loc_83015efffffffff_3365cd7c37,83.532515,land
loc_83015afffffffff_a3d3447a26,loc_84002d3ffffffff_c9c0747e17,1.430522,land
loc_830180fffffffff_3ba69217c3,loc_830181fffffffff_6af95e4024,2.409130,land
loc_830180fffffffff_3ba69217c3,loc_830182fffffffff_4c70721029,22.786939,land
loc_830180fffffffff_3ba69217c3,loc_830183fffffffff_83a75e49ff,54.286531,land
loc_830180fffffffff_3ba69217c3,loc_830184fffffffff_57ccaffef6,19.361794,land
loc_830180fffffffff_3ba69217c3,loc_830186fffffffff_54d727a61d,63.179634,land
loc_830180fffffffff_fa98f698ed,loc_830184fffffffff_57ccaffef6,9.431155,land
loc_830181fffffffff_6af95e4024,loc_830183fffffffff_83a75e49ff,4.010207,land
loc_830182fffffffff_4c70721029,loc_830183fffffffff_83a75e49ff,33.637704,land
loc_830182fffffffff_4c70721029,loc_830186fffffffff_54d727a61d,39.284775,land
loc_830183fffffffff_f0ecfe4a24,loc_83018efffffffff_f10a26fc1b,56.041332,land
loc_830183fffffffff_f0ecfe4a24,loc_83019dfffffffff_22beb3b965,50.055617,land
loc_830184fffffffff_57ccaffef6,loc_830186fffffffff_54d727a61d,14.602642,land
loc_830184fffffffff_57ccaffef6,loc_830186fffffffff_a887f682f1,0.076464,land
loc_830184fffffffff_d059d462b9,loc_830186fffffffff_cbc3facba7,0.199068,land
loc_830184fffffffff_d059d462b9,loc_8301b1fffffffff_9211425055,4.092165,land
loc_830186fffffffff_54d727a61d,loc_830195fffffffff_4ae8fec613,17.754276,land
loc_830186fffffffff_54d727a61d,loc_8301b1fffffffff_410d1b965e,3.605059,land
loc_830186fffffffff_54d727a61d,loc_8301b3fffffffff_a491744d87,62.013049,land
loc_830186fffffffff_cbc3facba7,loc_8301b1fffffffff_9211425055,29.699493,land
loc_83018afffffffff_d6a42b87a8,loc_83018efffffffff_386cabfc99,3.517174,land
loc_83018afffffffff_d6a42b87a8,loc_83018efffffffff_88bbff4662,0.429948,land
loc_83018afffffffff_d6a42b87a8,loc_830199fffffffff_cf11b18c78,23.936331,land
loc_83018afffffffff_d6a42b87a8,loc_83019dfffffffff_22beb3b965,63.903114,land
loc_83018efffffffff_386cabfc99,loc_83019dfffffffff_22beb3b965,11.200518,land
loc_83018efffffffff_f10a26fc1b,loc_83019dfffffffff_22beb3b965,9.950622,land
loc_830194fffffffff_17c3094655,loc_8301b3fffffffff_b9fa3cffd3,0.671424,land
loc_830194fffffffff_38e8186204,loc_8301b3fffffffff_a491744d87,1.037167,land
loc_830194fffffffff_6beda6b0b9,loc_830195fffffffff_4ae8fec613,3.509491,land
loc_830194fffffffff_6beda6b0b9,loc_8301b3fffffffff_d73cc936ed,0.018247,land
loc_830194fffffffff_b8550719b9,loc_830195fffffffff_4ae8fec613,17.415009,land
loc_830194fffffffff_b90b21f0f5,loc_830196fffffffff_05e93cd2e7,14.418722,land
loc_830195fffffffff_4ae8fec613,loc_8301b3fffffffff_a491744d87,47.235096,land
loc_830195fffffffff_4ae8fec613,loc_8301b3fffffffff_d73cc936ed,2.281807,land
loc_830196fffffffff_05e93cd2e7,loc_83106dfffffffff_471f1e638d,3.833552,land
loc_830196fffffffff_9291c3831d,loc_830b65fffffffff_6063e4e528,19.018301,land
loc_830196fffffffff_9291c3831d,loc_831069fffffffff_7e2802b529,69.676777,land
loc_8301b1fffffffff_410d1b965e,loc_8301b3fffffffff_a491744d87,6.204211,land
loc_8301b4fffffffff_71a338f4b4,loc_831149fffffffff_d9e517e6ae,23.634716,land
loc_8301b4fffffffff_71a338f4b4,loc_83114bfffffffff_6b8a438514,7.378717,land
loc_8301b6fffffffff_5aa52b1fca,loc_831061fffffffff_1001eaa548,0.498383,land
loc_8301b6fffffffff_5aa52b1fca,loc_831061fffffffff_88c82419b9,0.775370,land
loc_8301b6fffffffff_5aa52b1fca,loc_831061fffffffff_d416901ea1,0.940126,land
loc_8301b6fffffffff_5aa52b1fca,loc_831065fffffffff_109f61bde5,21.638612,land
loc_8301b6fffffffff_5aa52b1fca,loc_831065fffffffff_430a825305,4.542319,land
loc_8301b6fffffffff_5aa52b1fca,loc_831065fffffffff_d16a42937e,2.591488,land
loc_8301b6fffffffff_81034512fb,loc_83106cfffffffff_0e08966faf,1.098882,land
loc_8301b6fffffffff_8e057b5c3a,loc_831061fffffffff_b9644b51b2,2.315055,land
loc_830200fffffffff_6e4ca68971,loc_830201fffffffff_9ca6fe0da0,19.518411,land
loc_830200fffffffff_6e4ca68971,loc_830205fffffffff_db4e677b70,7.022314,land
loc_830201fffffffff_1aa3bae11f,loc_83020efffffffff_f9c75cdceb,10.924398,land
loc_830201fffffffff_9ca6fe0da0,loc_830203fffffffff_07dbaffdf8,6.778461,land
loc_830201fffffffff_9ca6fe0da0,loc_830205fffffffff_db4e677b70,29.629180,land
loc_830201fffffffff_9ca6fe0da0,loc_83020cfffffffff_0f6e2f59b3,41.550849,land
loc_830201fffffffff_9ca6fe0da0,loc_83020efffffffff_a26ea8bb5d,2.672617,land
loc_830202fffffffff_b43a5f3df6,loc_830203fffffffff_27bef6c4ba,1.133564,land
loc_830202fffffffff_e656ac95ed,loc_830203fffffffff_5583546532,14.514700,land
loc_830203fffffffff_27bef6c4ba,loc_83021cfffffffff_29ef9aeba4,13.240396,land
loc_830203fffffffff_685178e42d,loc_83020efffffffff_036540010b,7.670418,land
loc_830203fffffffff_685178e42d,loc_83021dfffffffff_42956334ac,1.607719,land
loc_830205fffffffff_ddc95ed849,loc_83022afffffffff_28b5b3b5c1,6.009047,land
loc_830205fffffffff_ddc95ed849,loc_83022efffffffff_0dd9391070,29.981519,land
loc_830208fffffffff_01c43e4474,loc_830209fffffffff_7f426d64fa,6.240995,land
loc_830208fffffffff_08d7026a58,loc_83020afffffffff_24cba17ba5,5.320286,land
loc_830208fffffffff_3708784862,loc_84020b9ffffffff_435eb79e90,0.547331,land
loc_830208fffffffff_3708784862,loc_84020b9ffffffff_7bbb7c829e,32.345521,land
loc_830208fffffffff_bc2cdd7011,loc_83020afffffffff_f82cae9df4,3.410845,land
loc_830208fffffffff_bc2cdd7011,loc_84020bdffffffff_ffceee4bd0,27.741770,land
loc_830208fffffffff_be6afc6b12,loc_830209fffffffff_7f426d64fa,18.655939,land
loc_830208fffffffff_be6afc6b12,loc_83020dfffffffff_9eef7d2872,1.682959,land
loc_830209fffffffff_7f426d64fa,loc_83020dfffffffff_9eef7d2872,25.637075,land
loc_830209fffffffff_7f426d64fa,loc_830254fffffffff_34431e18a6,15.367969,land
loc_830209fffffffff_7f426d64fa,loc_830272fffffffff_d79793818b,12.771794,land
loc_830209fffffffff_9cf9269791,loc_830256fffffffff_14b3875f8c,11.443205,land
loc_83020afffffffff_2b5ed00d14,loc_8302e4fffffffff_b55c4a7be2,27.879590,land
loc_83020afffffffff_a738ddecaa,loc_84020b5ffffffff_c4ab99182b,22.597357,land
loc_83020afffffffff_f82cae9df4,loc_84020bdffffffff_ffceee4bd0,11.557745,land
loc_83020cfffffffff_0f6e2f59b3,loc_83020efffffffff_0dded495b4,13.199170,land
loc_83020cfffffffff_921fb3f82a,loc_83020dfffffffff_af4d6ff6dd,21.602831,land
loc_83020cfffffffff_921fb3f82a,loc_83022afffffffff_287d28bf67,50.650054,land
loc_83020cfffffffff_921fb3f82a,loc_83022bfffffffff_01251cff08,7.044082,land
loc_83020cfffffffff_921fb3f82a,loc_83022bfffffffff_9dd4b9b543,15.141499,land
loc_83020dfffffffff_8471ba1b70,loc_830272fffffffff_f0331bf61e,1.277521,land
loc_83020dfffffffff_8471ba1b70,loc_830276fffffffff_7112c4efd3,1.273600,land
