province_id,location_id,piece_id
prv_00ac1df83f20a9ac5c7e,loc_830e66fffffffff_c647554fa3,whole
prv_00ac1df83f20a9ac5c7e,loc_830e68fffffffff_3996abb439,whole
prv_00ac1df83f20a9ac5c7e,loc_830e69fffffffff_4709807bfb,whole
prv_00ac1df83f20a9ac5c7e,loc_830e6afffffffff_04e33a150a,whole
prv_00ac1df83f20a9ac5c7e,loc_830e6bfffffffff_1941fd9fc8,whole
prv_00ac1df83f20a9ac5c7e,loc_830e6cfffffffff_2d82be5501,whole
prv_00ac1df83f20a9ac5c7e,loc_830e6dfffffffff_986f1b79cd,whole
prv_00ac1df83f20a9ac5c7e,loc_830e6efffffffff_f60c8de219,whole
prv_00ac1df83f20a9ac5c7e,loc_830e70fffffffff_0bcfbe6a2f,whole
prv_00ac1df83f20a9ac5c7e,loc_830e71fffffffff_3e76ed57c9,whole
prv_00ac1df83f20a9ac5c7e,loc_830e72fffffffff_c8170d360f,whole
prv_00ac1df83f20a9ac5c7e,loc_830e73fffffffff_1a4af8ecb4,whole
prv_00ac1df83f20a9ac5c7e,loc_830e74fffffffff_ecc4848022,whole
prv_00ac1df83f20a9ac5c7e,loc_830e75fffffffff_1692eb9949,whole
prv_00ac1df83f20a9ac5c7e,loc_830e76fffffffff_8da695b70f,whole
prv_00ac1df83f20a9ac5c7e,loc_830e80fffffffff_7d855584d9,whole
prv_00ac1df83f20a9ac5c7e,loc_830e82fffffffff_8719deef31,whole
prv_00ac1df83f20a9ac5c7e,loc_830e83fffffffff_20d049e016,whole
prv_00ac1df83f20a9ac5c7e,loc_830e86fffffffff_97cf148318,whole
prv_00ac1df83f20a9ac5c7e,loc_830e88fffffffff_7adada8788,whole
prv_00ac1df83f20a9ac5c7e,loc_830e89fffffffff_d9b49f65ab,whole
prv_00ac1df83f20a9ac5c7e,loc_830e8afffffffff_5055c1b686,whole
prv_00ac1df83f20a9ac5c7e,loc_830e8bfffffffff_9b9fced143,whole
prv_00ac1df83f20a9ac5c7e,loc_830e8cfffffffff_f2b796f296,whole
prv_00ac1df83f20a9ac5c7e,loc_830e8dfffffffff_f8ea401b76,whole
prv_00ac1df83f20a9ac5c7e,loc_830e8efffffffff_b2c1a4b5ef,whole
prv_00ac1df83f20a9ac5c7e,loc_830e90fffffffff_e1204b058c,whole
prv_00ac1df83f20a9ac5c7e,loc_830e91fffffffff_f724af0d45,whole
prv_00ac1df83f20a9ac5c7e,loc_830e92fffffffff_72a32a50ad,whole
prv_00ac1df83f20a9ac5c7e,loc_830e93fffffffff_2e0086fc45,whole
prv_00ac1df83f20a9ac5c7e,loc_830e94fffffffff_4890e235c3,whole
prv_00ac1df83f20a9ac5c7e,loc_830e95fffffffff_d8040c1e09,whole
prv_00ac1df83f20a9ac5c7e,loc_830e96fffffffff_6233f2e573,whole
prv_00ac1df83f20a9ac5c7e,loc_830e98fffffffff_656cf26371,whole
prv_00ac1df83f20a9ac5c7e,loc_830e99fffffffff_8d783292a8,whole
prv_00ac1df83f20a9ac5c7e,loc_830e9afffffffff_77bc744d5a,whole
prv_00ac1df83f20a9ac5c7e,loc_830e9bfffffffff_459bd5b4e6,whole
prv_00ac1df83f20a9ac5c7e,loc_830e9cfffffffff_b87b5b9a84,whole
prv_00ac1df83f20a9ac5c7e,loc_830e9dfffffffff_9b0fb41c3e,whole
prv_00ac1df83f20a9ac5c7e,loc_830e9efffffffff_75f7370c9f,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb0fffffffff_a3ab8fdb3f,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb1fffffffff_fee61ae19e,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb2fffffffff_e174ed366a,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb3fffffffff_ce5f1a0792,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb4fffffffff_982bf70596,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb5fffffffff_7d81466d9c,whole
prv_00ac1df83f20a9ac5c7e,loc_830eb6fffffffff_d31062fed5,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec0fffffffff_eb7deb2579,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec1fffffffff_1f11364efa,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec2fffffffff_64b4d752f9,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec3fffffffff_d7bf952ba5,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec4fffffffff_65e4e313b4,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec6fffffffff_7be07e2f9c,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec8fffffffff_0d5dc54dec,whole
prv_00ac1df83f20a9ac5c7e,loc_830ec9fffffffff_c25ca56f51,whole
prv_00ac1df83f20a9ac5c7e,loc_830ecafffffffff_fb7b55760a,whole
prv_00ac1df83f20a9ac5c7e,loc_830ecbfffffffff_c6f49261f6,whole
prv_00ac1df83f20a9ac5c7e,loc_830eccfffffffff_7c6f88de0b,whole
prv_00ac1df83f20a9ac5c7e,loc_830ecdfffffffff_f004200d04,whole
prv_00ac1df83f20a9ac5c7e,loc_830ecefffffffff_256e35cf59,whole
prv_00ac1df83f20a9ac5c7e,loc_830ed0fffffffff_aeddf88667,whole
